MusteriKodu,MusteriBolge3,MusteriBolge4,SatisKanali,MusteriUnvan,MusteriTabelaAdi,MusteriCesidi,KoordinatX,KoordinatY,MapProfileScore,MapPopulationScore,Mapin Segment,place_name,visitor_count
710647,Istanbul Anadolu,KADIKÖY,HOTEL,caba insaat enerji turizm sanayi ve ticaret anonim sirketi istanbul kadiköy subesi,MODA DOUBLETREE BY HILTON ,"Banket, Event, Etkinlik Oteli",'40.98835670,'29.02119210,,,H1,DoubleTree by Hilton Istanbul - Moda,64
1000018359,Istanbul Anadolu,KADIKÖY,MODERN,TOKTOK GIDA ISLETMECILIGI TIC.LTD.STI.,BASTA NEO BISTRO,Modern Pub & Bistro,'40.97147390,'29.05243607,"91,835","64,7843",D3-A,Basta Neo Bistro,64
805209,Istanbul Anadolu,KADIKÖY,MODERN,KADIKÖY BENZIN KAFE RESTAURANT ISL.LTD.STI.,BENZIN SOCIAL,Kokteyl Bar,'40.99008200,'29.02265500,"65,4682","63,8036",D3-C,Benzin Social,64
1000019370,Istanbul Anadolu,KADIKÖY,MODERN,OLSER TURIZM GIDA VE TIC.LTD.STI.,ARALIK,Kokteyl Bar,'40.98556646,'29.02539842,"78,132","64,6267",D3-B,aralık,64
559648,Istanbul Anadolu,KADIKÖY,MODERN,NEBA RESTORAN ISLETMECILIGI TUR. SAN. VE TIC. LTD.STI.,VICTOR LEVI,Fine Dining (D.Mutf-Sar.Evi),'40.98739900,'29.02603000,"93,0213","78,9117",D2-A,Viktor Levi Şarap Evi,63
854573,Istanbul Anadolu,KADIKÖY,MODERN,TRUVA CAFE PUB-MEHTAP ÖZDEMIR,BELFAST 2,Modern Pub & Bistro,'40.98654890,'29.02565950,"67,5678","52,389",D4-C,Belfast İrish Pub 2,63
951053,Istanbul Anadolu,KADIKÖY,MODERN,ALEM CAFE REST HIZ.SAN.VE TIC LTDSTI,BEYRUT PUB KADIKÖY,Modern Pub & Bistro,'40.98757351,'29.02526069,"63,7748","46,0139",D5-C,Greatness Beyrut Cafe Bar,62
956690,Istanbul Anadolu,KADIKÖY,TRADITIONAL,ALTINKÖSK RESTAURANT SAN VE TIC LTD STI,BEYAZ KÖSK MEYLIHANE,Yeni Nesil Meyhane,'40.98795659,'29.03375589,"65,0432","65,168",R3-C,Beyaz Köşk Kadıköy,62
1000022311,Istanbul Anadolu,KADIKÖY,MODERN,ILDUS RESTORAN HIZMETLERI VE TURIZM LTD.STI.,IL SUD,Fine Dining (D.Mutf-Sar.Evi),'40.98771378,'29.02477647,"91,8087","56,9618",D4-A,il Sud,62
434262,Istanbul Anadolu,KADIKÖY,TRADITIONAL,DILO CAFE,DILO CAFE,Geleneksel Birahane,'40.98864402,'29.02313304,"65,8189","64,4774",R3-C,Dilo Turk Cafe & Bar,62
