place_id,place_name,Mapin Segment,visitor_count,ID,MusteriKodu,MusteriTrackKod,SonMusteriKodu,PasifNeden,PasifNedenKod,DistSapkodu,DistPanKodu,MusteriBolge1,MusteriBolge2,MusteriBolge3,MusteriBolge4,SatisKanali,lisansNo,SatisHacmi,DiageoSatisHacmi,RutAdi,RutgrupKod,SatisTemsilcisi,StTakipKod,SatisSefi,SonGuncellenmeZamani,DDegeri,RDegeri,HDegeri,BiletEtkinlik,OrtalamaHarcamaTutari,KuverSayisi,IsbirligiDuzeyi,HerseyDahil,KisMevsimi,OtelTipi,YatakSayisi,YillikMisafir,MusteriUnvan,MusteriTabelaAdi,MusteriCesidi,VergiDairesi,VergiNumarasi,Adres,KoordinatX,KoordinatY,MusteriProfili,OTZincir,TAPDKOnayTarihi,MusteriOnSegment,WebServiceCalistirmaTarihi,AcikDonem,MapProfileScore,MapPopulationScore
719629,Laila Suadiye,D0-A,188,5771,719629,C719629,719629,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Anadolu,ÜSKÜDAR,MODERN,3428010772AI,S3,D2,Presell On Ist.Mod Caddebostan Bölgesi,2815,Atakan Balcioglu ,8226,Tayfun Öncel,,D3,R0,H0,Etkinlik Var,2.000+ TL,200-399,Yüksek,,,,,,MB KAFE RESTORAN ORGANIZASYON A.S.,RISEN FALL,Gece Kulübü,ÇESME,6131686114.0,SUADIYE MAH. PLAJ YOLU SOK. NO :27 KADIKÖY / ISTANBUL,'40.95653080,'29.08061020,A+,yok,2024-11-14,A,2025-04-29 12:12:49,YAZ - KIS,91.079,62.901
957928,Beyaz Fırın Suadiye,D1-A,188,5772,957928,1350169,957928,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Anadolu,KADIKÖY,MODERN,34288408AI,S4,D4,Presell On Ist.Mod Caddebostan Bölgesi,2815,Atakan Balcioglu ,8226,Tayfun Öncel,,D1,,,Etkinlik Yok,500-999 TL,400+,Düsük,,,,,,BEYAZ FIRIN GID IHRACAT,BEYAZ FIRIN SUADIYE,Modern Pub & Bistro,KADIKÖY,1670026600.0,SUADIYE MAH PLAJ YOLU CAD NO 18-1-A-1 KADIKOY ISTANBUL,'40.95696775,'29.08041460,A+,yok,2016-05-13,A,2025-04-29 12:12:53,YAZ - KIS,89.6477,92.1926
719597,Alaçatı Kafası Suadiye,R0-A,187,5773,719597,C719597,719597,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Anadolu,KADIKÖY,TRADITIONAL,3428010773AI,S1,D2,Presell On Ist.Tra Bostanci Bölgesi,2817,Mehmet Yasar Tezcan,8228,Erkan Çoban,,D0,R2,H0,Etkinlik Var,2.000+ TL,200-399,Yüksek,,,,,,DEM ORGANIZASYON HIZMETLERI TIC.LTD.STI.,ALAÇATI KAFASI,Yeni Nesil Meyhane,ERENKÖY VD.,2741570361.0,SUADIYE MAH. PLAJ YOLU SOK. NO:27 KADIKÖY / ISTANBUL,'40.95662760,'29.08049380,A+,yok,2024-11-14,A,2025-04-29 12:12:57,YAZ - KIS,91.079,72.377
1000026005,Saltator,R2-A,159,5774,1000026005,C1000026005,1000026005,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Anadolu,KADIKÖY,TRADITIONAL,34289477AI,S3,D4,Presell On Ist.Tra Bostanci Bölgesi,2817,Mehmet Yasar Tezcan,8228,Erkan Çoban,,,R2,,Etkinlik Yok,1.000 -1.999 TL,100-199,Yüksek,,,,,,STÜDYO TAG.SANAT TURZ.ISL.SAN.VE TIC.A.S.,SALTATOR BALIK,Balik,BEYOGLU,7810506871.0,SUADIYE MH PLAJ YOKU SK SUADIYE PARK IS MRK A BLO ,'40.95679389,'29.08018627,AB,yok,2020-02-24,A,2025-04-29 12:13:07,YAZ - KIS,92.972,79.9942
100000361,JERFİ CAFE BAR,D2-B,157,5775,100000361,C100000361,100000361,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Anadolu,KADIKÖY,MODERN,34289410AI,S3,D4,Presell On Ist.Mod Caddebostan Bölgesi,2815,Atakan Balcioglu ,8226,Tayfun Öncel,,D2,,,Etkinlik Yok,0-499 TL,100-199,Orta,,,,,,JERFI CAFE REST SAN VE TIC LTD STI - JERFI CAFE,THE WALL STREET,Modern Pub & Bistro,ERENKÖY,4841519703.0,SUADIYE BERNA 4/29,'40.96322161,'29.07549092,AB,yok,2019-12-17,B,2025-04-29 12:13:11,YAZ - KIS,76.9315,77.2922
710107,350 istanbul,D4-C,142,5776,710107,C710107,710107,,,1003053,389,Telesales Kanal Md.,Telesales OnTrade,Istanbul Anadolu,KADIKÖY,MODERN,3428010489AI,S3,D3,Presell Asya Kayikçi Telesell OnTrade Bölgesi,2825,Asya Kayikçi Telesell OnTrade,8250,Telesell Sef,,D4,,H0,Etkinlik Yok,1.000 -1.999 TL,0-99,Düsük,,,,,,ART34 TURIZM GIDA INS. TIC. LTD.STI.,ART350,Modern Pub & Bistro,ERENKÖY VD.,850928995.0,CADDEBOSTAN MAH.BAGDAT CAD. NO:350/I KADIKÖY / ISANBUL,'40.96411450,'29.07410720,AB,yok,2023-07-07,C,2025-04-29 12:13:15,YAZ - KIS,65.4207,53.0355
864891,Divan Pub Erenköy,D1-A,134,5777,864891,C152109,864891,,,1003053,389,Ulusal On-Trade Kanal MD.,Hospitality,Istanbul Anadolu,KADIKÖY,MODERN,34283185AI,S3,D3,Presell On Hospitality Avrupa1 Kayikçi Bölgesi,2535,Hospitality Yedek,8013,Mehmet Emir Kalkir,,D1,,,Etkinlik Yok,500-999 TL,400+,Yüksek,,,,,,DIVAN TURIZM ISLETMELERI A.S,DIVAN ERENKÖY,Modern Pub & Bistro,BÜYÜKMÜKELLEFLER,7200416873.0,CADDEBOSTAN MAH. BAGDAT SK. NO.333/A/2 KADIKOY ISTANBUL,'40.96496700,'29.07258100,AB,Divan,2006-02-20,A,2025-04-29 12:13:18,YAZ - KIS,93.5303,93.2491
931664,Erenköy Midpoint,D1-B,125,5778,931664,1107007,931664,,,1003053,389,Ulusal On-Trade Kanal MD.,Hospitality,Istanbul Anadolu,KADIKÖY,MODERN,34288880AI,S3,D4,Presell On Hospitality Avrupa2 Kayikçi Bölgesi,2536,Hospitalty Yedek 1,8072,ST Yöneticisi 7 ,,D1,R0,H0,Etkinlik Yok,500-999 TL,400+,Yüksek,,,,,,KÜRE TURIZM SANAYI VE TICARET LTD STI - MIDPOINT,MIDPOINT ERENKÖY,Modern Pub & Bistro,BEYOGLU,6060315168.0,CADDEBOSTAN MAHALLESI BAGDAT CADDESI NO:354/2-3 KADIKOY ISTANBUL,'40.96383920,'29.07376205,A+,Midpoint,2018-03-20,B,2025-04-29 12:13:22,YAZ - KIS,80.4211,95.8222
1000010808,Pennylane,D3-B,110,5779,1000010808,C1000010793,1000010808,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Anadolu,KADIKÖY,MODERN,34289426AI,S3,D4,Presell On Ist.Mod Caddebostan Bölgesi,2815,Atakan Balcioglu ,8226,Tayfun Öncel,,D3,,,Etkinlik Yok,0-499 TL,0-99,Yüksek,,,,,,SON PARASÜT KAFE RESTAURANT TUR.ITH.IHR.VE TIC.LTD.STI.,PENNYLANE,Modern Pub & Bistro,GÖZTEPE,7740568187.0,CADDEBOSTAN MH BAGDAT CD A BLOK NO 303/A,'40.96750912,'29.06788612,AB,yok,2020-01-24,B,2025-04-29 12:13:37,YAZ - KIS,78.3515,64.8244
700408,HaNi Restaurant,R3-C,102,5780,700408,C700408,700408,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Anadolu,KADIKÖY,TRADITIONAL,3428010304AI,S3,D4,Presell On Ist.Tra Bostanci Bölgesi,2817,Mehmet Yasar Tezcan,8228,Erkan Çoban,,,R3,,Etkinlik Yok,1.000 -1.999 TL,0-99,Yüksek,,,,,,BARMA GIDA TURIZM SAN. VE TIC.LTD.STI ,HANI BI MEYHANE,Geleneksel Meyhane,GÖZTEPE VD.,1420620268.0,Caddebostan mah. Bagdat cad. Beyaz akasya sok. No:2/C Kadiköy / ist.,'40.96783485,'29.06607516,AB,yok,2022-08-24,C,2025-04-29 12:13:45,YAZ - KIS,67.0005,63.4605
