place_id,place_name,Mapin Segment,visitor_count,ID,MusteriKodu,MusteriTrackKod,SonMusteriKodu,PasifNeden,PasifNedenKod,DistSapkodu,DistPanKodu,MusteriBolge1,MusteriBolge2,MusteriBolge3,MusteriBolge4,SatisKanali,lisansNo,SatisHacmi,DiageoSatisHacmi,RutAdi,RutgrupKod,SatisTemsilcisi,StTakipKod,SatisSefi,SonGuncellenmeZamani,DDegeri,RDegeri,HDegeri,BiletEtkinlik,OrtalamaHarcamaTutari,KuverSayisi,IsbirligiDuzeyi,HerseyDahil,KisMevsimi,OtelTipi,YatakSayisi,YillikMisafir,MusteriUnvan,MusteriTabelaAdi,MusteriCesidi,VergiDairesi,VergiNumarasi,Adres,KoordinatX,KoordinatY,MusteriProfili,OTZincir,TAPDKOnayTarihi,MusteriOnSegment,WebServiceCalistirmaTarihi,AcikDonem,MapProfileScore,MapPopulationScore
712961,Araka,D3-A,608,5433,712961,C712961,712961,,,1003053,389,Reserve Kanal Md.,Reserve Istanbul 1,Istanbul Avrupa,SARIYER,MODERN,3420004402AI,S5,D4,Presell Reserve Ist. 1 Kayikçi Bölgesi,2542,Reserve Istanbul 1 Personel,7387,Reserve Istanbul 1 Saha Müdürü,,D3,R0,H0,Etkinlik Var,2.000+ TL,0-99,Orta,,,,,,Araka turizm organizasyon ve danismanlik sanayi ve ticaret Limited sirketi-ARAKA,ARAKA,Fine Dining (D.Mutf-Sar.Evi),SARIYER,7290835056.0,Yeniköy mah. Kapali bakkal sok. No :8 Sariyer/Istnbul ,'41.11714110,'29.06311830,C,Reserve,2023-11-24,A,2025-04-25 11:20:35,YAZ - KIS,97.457,62.021
1000014293,Eskiyer Restaurant Yeniköy,R1-A,569,5434,1000014293,C1000014293,1000014293,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Avrupa,SARIYER,TRADITIONAL,3420003995AI,S2,D2,Presell On Ist.Tra Avr Sariyer Bölgesi,2762,Samet Sahin,7377,Ümit Erdik,,,R1,,Etkinlik Yok,2.000+ TL,200-399,Yüksek,,,,,,ESKIYER TURISTIK ISLETMELER ANONIM SIRKETI-DOSTLAR ESKIYER,DOSTLAR ESKIYER,Balik,SARIYER,3801093621.0,YENIKÖY MAH.KÖYBASI CD. NO:58,'41.12437923,'29.07050349,A+,yok,2020-11-13,A,2025-04-25 11:20:38,YAZ - KIS,93.793,92.9895
310727,Sait Halim Pasha Mansion,D1-A,538,5435,310727,C162831,310727,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Avrupa,SARIYER,MODERN,34201303AI,S3,D2,Presell On Ist.Mod Avr. Sariyer-Kagithane Bölgesi,2750,Mertcan Yalvaç,7379,Hüsamettin Özdemir,,D1,R0,H0,Etkinlik Var,1.000 -1.999 TL,200-399,Yüksek,,,,,,YENIKÖY TURIZM ISLET.VE YATIRIM A.S,SAIT HALIM PASA YAL,Tekne-Event Hall-Catering,SARIYER,3960261862.0,KÖYBASI CD.NO:117 YENIKÖY MH-SARIYER,'41.12054000,'29.06979200,AB,yok,2008-02-07,A,2025-04-25 11:20:42,YAZ - KIS,90.7473,92.2046
942476,Therapia Boğaz Balık,R1-A,521,5436,942476,264698,942476,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Avrupa,SARIYER,TRADITIONAL,34203474AI,S1,D3,Presell On Ist.Tra Avr Sariyer Bölgesi,2762,Samet Sahin,7377,Ümit Erdik,,,R1,,Etkinlik Yok,1.000 -1.999 TL,200-399,Orta,,,,,,TERAPI BOGAZ RESTORAN ISLETMECILIK HIZMETLERI ANONIM SIRKETI,THERAPIA BALIK,Balik,SARIYER,8390562508.0,TARABYA MAHALLESI HAYDAR ALIYEV CAD. 96/B SARIYER ISTANBUL,'41.14721300,'29.05098100,AB,yok,2018-01-26,A,2025-04-25 11:20:46,YAZ - KIS,93.0035,94.4829
965271,Yeniköy eski âdet,R3-B,520,5437,965271,1421287,965271,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Avrupa,SARIYER,MODERN,34203838AI,S5,D4,Presell On Ist.Mod Avr. Sariyer-Kagithane Bölgesi,2750,Mertcan Yalvaç,7379,Hüsamettin Özdemir,,D3,R0,H0,Etkinlik Yok,1.000 -1.999 TL,100-199,Orta,,,,,,KAOS TURIZM GIDA ISLETMECILIGI PAZARLAMA SAN. TIC.A.S. YENIKÖY ESKI ADET,YENIKÖY ESKI ADET,Fine Dining (D.Mutf-Sar.Evi),SARIYER,4970877926.0,YENIKÖY MAH. KAPALI BAKKAL SOK. NO:3 SARIYER ISTANBUL,'41.11707114,'29.06289841,DE,yok,2019-09-23,B,2025-04-25 11:20:50,YAZ - KIS,78.51,63.63
712119,Nü Kireçburnu Restaurant,R2-B,514,5501,712119,C712119,712119,Maddi Sorunlardan Kapanmis Nokta,14.0,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Avrupa,SARIYER,TRADITIONAL,3420004201AI,S2,D2,Presell On Ist.Tra Avr Sariyer Bölgesi,2762,Samet Sahin,7377,Ümit Erdik,,D0,R2,H0,Etkinlik Yok,1.000 -1.999 TL,200-399,Orta,,,,,,Bogaz merit restoran sanayi ticaret Limited sirketi-NU KIREÇBURNU ,NU KIREÇBURNU ,Kebap,SARIYER,1791288747.0,Tarabya mah. Haydar aliyev caddesi. No:98 iç kapino 1 Sariyer/Istanbul ,'41.14695660,'29.05188000,AB,yok,2022-04-07,B,2025-04-25 11:28:03,,,
910491,Meshur Kirecburnu Midye ve Balik Evi,R5-C,501,5438,910491,960604,910491,,,1003053,389,Telesales Kanal Md.,Telesales OnTrade,Istanbul Avrupa,SARIYER,TRADITIONAL,34201849AI,S4,D4,Presell Kayikçi Telesell OnTrade Bölgesi,2654,Kayikçi Telesell Ontrade,7735,Telesell Sef,,,R5,,Etkinlik Yok,0-499 TL,0-99,Düsük,,,,,,KIREÇBURNU MIDYE BALIK EVI,MIDYE BALIK EVI,Balik,SARIYER,,Kireçburnu Mah. Haydar Aliyev Cad. No:23  SARIYER ISTANBUL,'41.14859382,'29.04524278,DE,yok,2012-04-20,C,2025-04-25 11:20:57,YAZ - KIS,63.7244,45.722
1000026197,Elaşina Restaurant,R4-C,471,5439,1000026197,C1000026197,1000026197,,,1003053,389,Telesales Kanal Md.,Telesales OnTrade,Istanbul Avrupa,SARIYER,TRADITIONAL,3420004174AI,S3,D4,Presell Kayikçi Telesell OnTrade Bölgesi,2654,Kayikçi Telesell Ontrade,7735,Telesell Sef,,,R4,,Etkinlik Yok,0-499 TL,100-199,Düsük,,,,,,VICE GIDA VE INSAAT TICARET LIMITED SIRKETI-ELASINA,ELASINA,Balik,SARIYER,9250977276.0,KEFELIKÖY BAGLAR SOKAK NO:3,'41.15338604,'29.03754869,AB,yok,2022-01-20,C,2025-04-25 11:21:01,YAZ - KIS,64.5892,52.3711
936836,Melisa Balik,R3-B,470,5440,936836,C183328,936836,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Avrupa,SARIYER,TRADITIONAL,34203412AI,S3,D4,Presell On Ist.Tra Avr Sariyer Bölgesi,2762,Samet Sahin,7377,Ümit Erdik,,D0,R3,H0,Etkinlik Yok,500-999 TL,100-199,Orta,,,,,,MELISA RESTAURANT,MELISA RESTAURANT,Balik,SARIYER,,KIREÇBURNU MAH. KIREÇBURNU CAD. NO:19 SARIYER ISTANBUL,'41.14723401,'29.05083900,AB,yok,2013-04-29,B,2025-04-25 11:21:04,YAZ - KIS,79.0616,65.946
893214,Tarihi Ali Baba Balık Lokantası,R1-B,461,5441,893214,803383,893214,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Avrupa,SARIYER,TRADITIONAL,34203166AI,S2,D4,Presell On Ist.Tra Avr Sariyer Bölgesi,2762,Samet Sahin,7377,Ümit Erdik,,,R1,,Etkinlik Yok,500-999 TL,200-399,Orta,,,,,,EMOGROUP INSAAT TURIZM TIC.A.S.-TARIHI ALIBAB BALIK LOKANTASI,TARIHI ALI BABA,Balik,SARIYER,3340538937.0,KIREÇBURNU MAHALLESI HAYDAR ALIYEV CAD.NO:7/1 SARIYER ISTANBUL,'41.14834085,'29.04596061,AB,yok,2016-04-08,B,2025-04-25 11:21:07,YAZ - KIS,78.0324,90.6752
